,,,1,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,,Amount (₹),,,,,,,,,,,,,,,,,,,,,,,,,
,Institution,Name / Type,"Apr, 2025","May, 2025","Jun, 2025","Jul, 2025","Aug, 2025","Sep, 2025","Oct, 2025","Nov, 2025","Dec, 2025","Jan, 2026","Feb, 2026","Mar, 2026","Apr, 2026","May, 2026","Jun, 2026","Jul, 2026","Aug, 2026","Sep, 2026","Oct, 2026","Nov, 2026","Dec, 2026","Jan, 2027","Feb, 2027","Mar, 2027","Apr, 2027","May, 2027"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bank Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Checking, savings, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,HDFC account,"₹33,940","₹11,854","₹28,072","₹40,135","₹36,714","₹21,995",,,,,,,,,,,,,,,,,,,,
2,,IDFC account,"₹2,20,000","₹4,42,845","₹6,27,860","₹9,67,862","₹8,71,194","₹5,87,144",,,,,,,,,,,,,,,,,,,,
3,,Federal bank,"₹25,000","₹34,000","₹45,490","₹51,375","₹34,504","₹3,970",,,,,,,,,,,,,,,,,,,,
4,,Zerodha funds,,,,,"₹89,104",₹0,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subtotal - bank accounts,,,"₹4,88,699","₹7,01,422","₹10,59,372","₹10,31,516","₹6,13,109",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investment Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Taxable / non-taxable accounts, employer savings accounts, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Equity,"₹21,41,621","₹21,41,621","₹20,41,432","₹18,93,890","₹18,30,357","₹21,09,875",,,,,,,,,,,,,,,,,,,,
2,,Mutual funds,"₹5,86,143","₹5,86,143","₹6,57,999","₹6,64,291","₹6,33,754","₹8,41,308",,,,,,,,,,,,,,,,,,,,
3,,Gold,"₹10,69,000","₹10,70,000","₹10,72,879","₹10,73,670","₹11,10,227","₹12,07,431",,,,,,,,,,,,,,,,,,,,
4,,EPF,"₹4,75,893","₹4,75,893","₹4,75,893","₹4,75,893","₹4,75,893","₹7,80,130",,,,,,,,,,,,,,,,,,,,
5,,NPS,"₹1,12,932","₹1,12,932","₹1,12,932","₹1,13,965","₹1,12,569","₹1,14,689",,,,,,,,,,,,,,,,,,,,
6,,FD,"₹94,000","₹94,000","₹94,000","₹94,000","₹94,000","₹94,000",,,,,,,,,,,,,,,,,,,,
7,,BetterInvest,"₹6,00,000",,,,"₹2,00,000","₹3,00,000",,,,,,,,,,,,,,,,,,,,
,,Walmart shares,,,,"₹55,813","₹55,813","₹1,24,347",,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subtotal - investment accounts,,"₹50,79,589","₹44,80,589","₹44,55,135","₹43,71,522","₹45,12,613","₹55,71,780",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Home value, car, other valuable possessions",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Edyar land,"₹60,00,000","₹60,00,000","₹60,00,000","₹60,00,000","₹60,00,000","₹60,00,000",,,,,,,,,,,,,,,,,,,,
2,,Bhive,"₹37,50,000","₹37,50,000","₹37,50,000","₹37,50,000","₹37,50,000","₹37,50,000",,,,,,,,,,,,,,,,,,,,
3,,Aston grey,"₹9,00,000","₹9,00,000","₹9,00,000","₹9,00,000","₹9,00,000","₹9,00,000",,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subtotal - other assets,,"₹1,06,50,000","₹1,06,50,000","₹1,06,50,000","₹1,06,50,000","₹1,06,50,000","₹1,06,50,000",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Credit cards, student loans, mortgages, lines of credit, car loans, etc. (enter $ amounts as negative values)",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Home loan,"₹26,19,441","₹25,99,348","₹25,66,904","₹25,46,677","₹25,14,017","₹24,93,655",,,,,,,,,,,,,,,,,,,,
2,,Personal loan,"₹6,45,000",,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subtotal - debt,,"₹32,64,441","₹25,99,348","₹25,66,904","₹25,46,677","₹25,14,017","₹24,93,655",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Assets,,"₹1,57,29,589","₹1,56,19,288","₹1,58,06,557","₹1,60,80,894","₹1,61,94,129","₹1,68,34,889",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0
,Total Debt,,"-₹3,264,441","-₹2,599,348","-₹2,566,904","-₹2,546,677","-₹2,514,017","-₹2,493,655",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0
,Net Worth,,"₹1,24,65,148","₹1,30,19,940","₹1,32,39,653","₹1,35,34,217","₹1,36,80,112","₹1,43,41,234",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0
,Month-over-month change - ₹,,,"₹5,54,792","₹2,19,713","₹2,94,564","₹1,45,895","₹6,61,122","-₹14,341,234",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0
,Year-over-year change - ₹,,,,,,,,,,,,,,,"-₹12,465,148","-₹13,239,653","-₹13,534,217","-₹13,680,112","-₹14,341,234",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,• Feel free to adjust the dates in row 3 as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"• When entering in debts, input them as negative values (i.e., with a minus sign in front of the number, for example ""-100"")",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"• You can add more than 5 types of bank accounts / assets / debts easily by clicking the ""+"" buttons on the left side of the spreadsheet -- there are additional rows that can be expanded",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Home loan Outstanding principal on April 1, 2025",,,"₹26,57,441",,,,,,,,,,,,,,,,,,,,,,,,
,"Home loan Outstanding principal on April 1, 2025","May 31,2025",,"₹25,99,348",,,,,,,,,,,,,,,,,,,,,,,,